DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6210;P6210S1;P1366;P756;P756S3;P755;P755S3;P753;P753S3;P1662;P6080;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P1906S9;P3038;P3039
647667;237;1;1;1;171.62517119;4;409;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647667;237;2;1;2;171.62517119;4;409;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647668;237;1;1;1;157.97433511;3;305;4;2;;1;;1;;;9;4;4;3;3;3;4;4;4;4;1;2
647669;237;1;1;1;171.62517119;3;301;4;2;;1;;1;;;9;4;4;3;3;3;4;4;4;4;1;2
647669;237;2;1;2;171.62517119;5;511;6;1;;1;;1;;;9;4;3;4;4;4;3;4;3;4;2;1
647670;237;1;1;1;219.95684737;3;304;6;2;;2;;2;;1;9;4;4;4;4;4;4;4;4;4;2;1
647671;237;1;1;1;143.82794077;5;510;3;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647671;237;2;1;2;143.82794077;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647672;237;1;1;1;183.29737281;5;511;6;2;;2;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647673;237;1;1;1;155.86691854;4;409;5;1;;1;;1;;;5;4;4;4;4;4;4;4;4;4;2;1
647675;237;1;1;1;138.78741504;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647675;237;2;1;2;138.78741504;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647676;237;1;1;1;142.87800866;3;304;4;1;;1;;1;;;9;3;4;4;4;4;4;4;4;3;2;1
647679;237;2;1;2;224.26694589;6;605;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647679;237;1;1;1;224.26694589;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647681;237;1;1;1;226.967208;5;511;4;2;;2;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
647682;237;1;1;1;208.87742961;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647682;237;2;1;2;208.87742961;6;605;3;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
647683;237;1;1;1;159.55777888;5;512;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647683;237;2;1;2;159.55777888;5;512;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647683;237;3;1;3;159.55777888;5;512;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647683;237;4;1;4;159.55777888;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647684;237;1;1;1;150.70738763;5;512;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647684;237;2;1;2;150.70738763;4;409;2;3;3;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647685;237;1;1;1;224.26694589;6;600;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647685;237;2;1;2;224.26694589;6;600;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647687;237;1;1;1;209.67039096;6;604;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647687;237;2;1;2;209.67039096;3;304;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647689;237;1;1;1;133.2681517;4;409;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647689;237;2;1;2;133.2681517;5;512;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647690;237;1;1;1;131.84227904;3;303;5;1;;1;;1;;;5;3;4;3;3;4;4;4;4;4;2;1
647690;237;2;1;2;131.84227904;5;512;6;1;;1;;1;;;5;4;4;4;4;4;4;4;4;4;1;2
647692;237;1;1;1;194.72849986;6;605;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647692;237;2;1;2;194.72849986;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647692;237;3;1;3;194.72849986;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647693;237;1;1;1;158.79628026;5;511;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647695;237;1;1;1;500.74614296;6;607;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647695;237;2;1;2;500.74614296;6;604;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647695;237;3;1;3;500.74614296;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647695;237;4;1;4;500.74614296;4;409;4;1;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
647696;237;1;1;1;550.1759995;6;610;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
647696;237;2;1;2;550.1759995;6;610;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647696;237;3;1;3;550.1759995;6;610;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647697;237;2;1;2;864.42906877;6;603;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647697;237;3;1;3;864.42906877;6;601;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647697;237;4;1;4;864.42906877;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647697;237;1;1;1;864.42906877;6;605;5;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647698;237;1;1;1;751.03383297;6;610;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647698;237;2;1;2;751.03383297;6;610;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647699;237;1;1;1;793.15528584;6;605;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
647699;237;2;1;2;793.15528584;5;511;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647699;237;3;1;3;793.15528584;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647700;237;1;1;1;523.45920585;3;305;4;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;1
647700;237;2;1;2;523.45920585;6;602;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647700;237;3;1;3;523.45920585;5;511;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
647700;237;5;1;5;523.45920585;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647701;237;1;1;1;587.83719049;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647701;237;2;1;2;587.83719049;4;407;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647701;237;3;1;3;587.83719049;6;615;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647702;237;1;1;1;723.75514517;4;406;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647702;237;2;1;2;723.75514517;4;406;3;1;;1;;1;;;5;4;4;4;4;4;4;4;4;4;1;2
647702;237;3;1;3;723.75514517;4;400;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647702;237;7;2;1;723.75514517;3;305;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647704;237;1;1;1;587.74319333;4;409;3;1;;1;;1;;;1;4;4;4;4;4;4;4;4;4;2;1
647704;237;2;1;2;587.74319333;4;409;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647705;237;1;1;1;671.64276424;3;305;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647705;237;2;1;2;671.64276424;5;513;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647710;237;1;1;1;501.81074173;3;304;2;1;;1;;1;;;1;4;4;4;4;4;4;4;4;4;2;1
647710;237;2;1;2;501.81074173;3;305;2;1;;1;;1;;;1;4;4;4;4;4;4;4;4;4;1;2
647711;237;1;1;1;501.81074173;3;304;3;1;;1;;1;;;1;4;4;4;4;4;4;4;4;4;2;1
647711;237;2;1;2;501.81074173;4;408;3;2;;1;;1;;;1;3;4;4;4;4;4;4;4;4;1;2
647712;237;1;1;1;752.35662302;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647712;237;2;1;2;752.35662302;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647713;237;1;1;1;451.92763679;6;606;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647715;237;1;1;1;2059.4003014;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647715;237;2;1;2;2059.4003014;3;305;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647715;237;3;1;3;2059.4003014;6;604;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647716;237;1;1;1;451.92763679;6;602;1;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647716;237;2;1;2;451.92763679;5;511;1;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647717;237;1;1;1;1932.9282564;5;513;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647717;237;2;1;2;1932.9282564;5;513;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647718;237;1;1;1;1932.9282564;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647718;237;2;1;2;1932.9282564;6;604;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647719;237;1;1;1;451.92763679;5;511;1;1;;1;;1;;;9;4;4;4;3;4;4;4;4;4;2;1
647719;237;2;1;2;451.92763679;5;511;1;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647720;237;1;1;1;1118.1159134;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647720;237;2;1;2;1118.1159134;4;409;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647720;237;3;1;3;1118.1159134;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647721;237;1;1;1;451.92763679;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647721;237;2;1;2;451.92763679;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647721;237;3;1;3;451.92763679;6;603;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647722;237;1;1;1;574.94809926;4;406;2;3;3;1;;1;;;5;4;4;4;4;4;4;4;4;4;2;1
647722;237;2;1;2;574.94809926;5;511;2;3;3;1;;1;;;5;4;4;4;4;4;4;4;4;4;1;2
647723;237;1;1;1;1202.8910136;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647723;237;2;1;2;1202.8910136;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647723;237;3;1;3;1202.8910136;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647724;237;1;1;1;962.24827977;3;305;4;1;;1;;1;;;9;3;3;3;3;4;4;4;4;3;2;1
647724;237;2;1;2;962.24827977;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647724;237;3;1;3;962.24827977;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;1
647724;237;4;1;4;962.24827977;4;408;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
