DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P220;P5785;P5501;P2057;P2059;P2061;P1402;P1403;P1365;P1364;P1363
647667;237;1;1;1;171.62517119;1;43;1;2;2;2;4;4;1;4;3
647667;237;2;1;2;171.62517119;2;58;2;2;2;2;4;4;1;6;1
647668;237;1;1;1;157.97433511;2;64;1;1;;2;4;4;4;;
647669;237;1;1;1;171.62517119;2;60;1;2;2;2;4;4;4;;
647669;237;2;1;2;171.62517119;1;29;3;2;2;2;4;4;7;;
647670;237;1;1;1;219.95684737;1;50;1;1;;2;1;1;1;6;1
647671;237;1;1;1;143.82794077;2;53;1;1;;2;4;4;4;;
647671;237;2;1;2;143.82794077;1;56;2;2;2;2;4;4;1;6;1
647672;237;1;1;1;183.29737281;1;35;1;1;;2;4;2;2;;
647673;237;1;1;1;155.86691854;1;66;1;2;2;2;4;4;1;1;1
647675;237;1;1;1;138.78741504;1;63;1;2;2;2;4;4;6;;
647675;237;2;1;2;138.78741504;2;61;2;2;2;2;4;4;4;;
647676;237;1;1;1;142.87800866;1;59;1;1;;1;3;2;5;;
647679;237;2;1;2;224.26694589;1;26;3;2;2;2;3;3;3;;
647679;237;1;1;1;224.26694589;2;50;1;2;2;2;4;3;1;6;1
647681;237;1;1;1;226.967208;2;78;1;2;2;2;2;2;4;;
647682;237;1;1;1;208.87742961;1;75;1;2;2;2;4;3;4;;
647682;237;2;1;2;208.87742961;2;75;2;2;2;2;4;3;6;;
647682;237;3;1;3;208.87742961;1;13;5;;;;;;;;
647683;237;1;1;1;159.55777888;1;56;1;2;2;2;4;4;1;8;1
647683;237;2;1;2;159.55777888;2;56;2;2;2;2;4;4;4;;
647683;237;3;1;3;159.55777888;1;25;3;2;2;2;4;4;2;;
647683;237;4;1;4;159.55777888;2;16;5;2;2;2;4;4;3;;
647684;237;1;1;1;150.70738763;1;35;1;2;2;2;4;4;1;8;1
647684;237;2;1;2;150.70738763;2;32;2;2;2;2;3;2;4;;
647685;237;1;1;1;224.26694589;2;44;1;2;2;2;2;2;1;1;1
647685;237;2;1;2;224.26694589;1;48;2;2;2;2;2;2;1;1;1
647687;237;1;1;1;209.67039096;2;42;1;2;2;2;4;4;1;6;1
647687;237;2;1;2;209.67039096;2;71;6;2;2;2;4;4;4;;
647689;237;1;1;1;133.2681517;1;70;1;2;2;2;4;4;1;3;1
647689;237;2;1;2;133.2681517;2;56;2;2;2;2;4;4;4;;
