DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;DEPMUNI;CIUDADES28;Clase;FEX_C;P1987;P1988;P1988S1;P1989;P1990
647667;235;1;1;1;08001;1;Cabecera;171.62517119;2;1;2;1;1
647668;235;1;1;1;08001;1;Cabecera;157.97433511;2;1;2;1;1
647669;235;1;1;1;08001;1;Cabecera;171.62517119;2;1;2;1;1
647670;235;1;1;1;08001;1;Cabecera;219.95684737;2;1;2;2;1
647671;235;1;1;1;08001;1;Cabecera;143.82794077;1;1;2;1;1
647672;235;1;1;1;08001;1;Cabecera;183.29737281;2;1;2;2;1
647673;235;1;1;1;08001;1;Cabecera;155.86691854;2;1;2;2;1
647675;235;1;1;1;08001;1;Cabecera;138.78741504;2;1;3;1;1
647676;235;1;1;1;08001;1;Cabecera;142.87800866;2;1;1;2;1
647679;235;1;1;1;08001;1;Cabecera;224.26694589;2;1;3;2;1
647681;235;1;1;1;08001;1;Cabecera;226.967208;2;1;4;2;1
647682;235;1;1;1;08001;1;Cabecera;208.87742961;2;1;4;2;1
647683;235;1;1;1;08001;1;Cabecera;159.55777888;1;1;1;1;1
647684;235;1;1;1;08001;1;Cabecera;150.70738763;2;1;1;1;1
647685;235;1;1;1;08001;1;Cabecera;224.26694589;2;1;3;1;1
647687;235;1;1;1;08001;1;Cabecera;209.67039096;1;1;4;1;1
647689;235;1;1;1;08001;1;Cabecera;133.2681517;1;1;1;1;1
647690;235;1;1;1;08001;1;Cabecera;131.84227904;1;1;1;1;1
647692;235;1;1;1;08001;1;Cabecera;194.72849986;2;1;2;2;1
647693;235;1;1;1;08001;1;Cabecera;158.79628026;2;1;2;1;1
647695;235;1;1;1;00000;1;Cabecera;500.74614296;2;1;2;2;1
647696;235;1;1;1;00000;1;Cabecera;550.1759995;2;1;2;1;1
647697;235;1;1;1;00000;1;Cabecera;864.42906877;2;1;2;2;1
647698;235;1;1;1;00000;1;Cabecera;751.03383297;2;1;2;1;1
647699;235;1;1;1;00000;1;Cabecera;793.15528584;2;1;2;2;1
647700;235;1;1;1;00000;1;Cabecera;523.45920585;2;1;2;1;1
647701;235;1;1;1;00000;1;Cabecera;587.83719049;2;1;1;1;1
647702;235;1;1;1;00000;1;Cabecera;723.75514517;1;1;1;1;2
647704;235;1;1;1;00000;1;Cabecera;587.74319333;1;1;1;1;1
647705;235;1;1;1;00000;1;Cabecera;671.64276424;2;1;1;2;1
647710;235;1;1;1;00000;1;Cabecera;501.81074173;2;1;1;3;1
647711;235;1;1;1;00000;1;Cabecera;501.81074173;2;1;1;1;1
647712;235;1;1;1;00000;1;Cabecera;752.35662302;2;1;1;2;1
647713;235;1;1;1;00000;1;Cabecera;451.92763679;2;1;1;2;1
647715;235;1;1;1;00000;1;Cabecera;2059.4003014;2;1;1;2;1
647716;235;1;1;1;00000;1;Cabecera;451.92763679;2;1;1;2;1
647717;235;1;1;1;00000;1;Cabecera;1932.9282564;2;1;1;2;1
647718;235;1;1;1;00000;1;Cabecera;1932.9282564;1;1;1;2;1
647719;235;1;1;1;00000;1;Cabecera;451.92763679;1;1;2;1;1
647720;235;1;1;1;00000;1;Cabecera;1118.1159134;1;1;2;1;1
647721;235;1;1;1;00000;1;Cabecera;451.92763679;1;1;2;1;1
647722;235;1;1;1;00000;1;Cabecera;574.94809926;2;1;1;2;1
647723;235;1;1;1;00000;1;Cabecera;1202.8910136;2;1;2;1;1
647724;235;1;1;1;00000;1;Cabecera;962.24827977;2;1;2;1;1
647725;235;1;1;1;00000;1;Cabecera;601.2718683;1;1;3;3;1
647726;235;1;1;1;00000;1;Cabecera;775.70035657;3;1;3;3;1
647727;235;1;1;1;00000;1;Cabecera;654.2121073;2;1;2;1;1
647728;235;1;1;1;00000;1;Cabecera;795.14079882;1;1;3;1;1
647729;235;1;1;1;00000;1;Cabecera;682.6931928;1;1;3;1;1
647730;235;1;1;1;00000;1;Cabecera;573.58411;2;1;3;1;1
647731;235;1;1;1;00000;1;Cabecera;997.25704539;1;1;3;2;1
647732;235;1;1;1;00000;1;Cabecera;654.2121073;1;1;3;1;1
647733;235;1;1;1;00000;1;Cabecera;1307.492992;1;1;1;1;1
647735;235;1;1;1;00000;1;Cabecera;637.31567777;1;1;1;1;1
647736;235;1;1;1;00000;1;Cabecera;840.97115899;1;1;1;3;1
647737;235;1;1;1;00000;1;Cabecera;717.54186244;1;1;1;1;1
647738;235;1;1;1;00000;1;Cabecera;1036.4921876;1;1;1;1;1
647739;235;1;1;1;00000;1;Cabecera;798.16395095;1;1;1;2;1
647740;235;1;1;1;00000;1;Cabecera;1209.0189619;2;1;1;2;1
647741;235;1;1;1;00000;1;Cabecera;899.54164754;1;1;1;1;1
647742;235;1;1;1;00000;1;Cabecera;1056.5216052;1;1;1;1;1
647743;235;1;1;1;00000;1;Cabecera;699.31378618;1;1;1;1;1
647744;235;1;1;1;00000;1;Cabecera;875.77356812;1;1;1;1;1
647745;235;1;1;1;00000;1;Cabecera;544.45193009;2;1;1;2;1
647746;235;1;1;1;00000;1;Cabecera;436.82773326;1;1;1;1;1
647747;235;1;1;1;00000;1;Cabecera;136.70779931;1;1;3;2;1
647748;235;1;1;1;00000;1;Cabecera;165.16655664;1;1;3;1;1
647749;235;1;1;1;00000;1;Cabecera;111.76214519;2;1;3;1;1
647750;235;1;1;1;00000;1;Cabecera;143.29338507;2;1;3;1;1
647751;235;1;1;1;00000;1;Cabecera;149.95286528;2;1;3;2;1
647752;235;1;1;1;00000;1;Cabecera;145.40192668;2;1;3;2;1
647753;235;1;1;1;00000;1;Cabecera;111.76214519;1;1;3;1;1
647754;235;1;1;1;00000;1;Cabecera;177.32180256;1;1;3;1;1
647755;235;1;1;1;00000;1;Cabecera;887.81889765;1;1;3;1;1
647756;235;1;1;1;00000;1;Cabecera;791.50776699;1;1;3;1;3
647757;235;1;1;1;00000;1;Cabecera;487.61976587;1;1;3;2;1
647758;235;1;1;1;00000;1;Cabecera;533.61838127;2;1;3;1;1
647760;235;1;1;1;00000;1;Cabecera;691.39044959;2;1;3;2;1
647761;235;1;1;1;00000;1;Cabecera;668.27100679;1;1;3;1;1
647762;235;1;1;1;00000;1;Cabecera;583.8241008;2;1;3;1;1
647763;235;1;1;1;00000;1;Cabecera;474.54271868;2;1;3;2;1
647765;235;1;1;1;00000;1;Cabecera;528.56385638;2;1;3;2;1
647766;235;1;1;1;00000;1;Cabecera;1172.1231721;2;1;3;2;1
647767;235;1;1;1;00000;1;Cabecera;420.56420482;1;1;3;1;1
647768;235;1;1;1;00000;1;Cabecera;637.6072752;2;1;3;2;1
647769;235;1;1;1;00000;1;Cabecera;447.19780632;2;1;3;2;1
647770;235;1;1;1;00000;1;Cabecera;725.74035941;2;1;3;2;1
647771;235;1;1;1;00000;1;Cabecera;550.58107349;1;1;3;2;1
647773;235;1;1;1;00000;1;Cabecera;980.42582208;2;1;3;2;1
647775;235;1;1;1;50001;1;Cabecera;71.098645671;1;1;2;2;1
647776;235;1;1;1;50001;1;Cabecera;92.766326636;1;1;2;2;1
647777;235;1;1;1;50001;1;Cabecera;89.936091438;1;1;2;1;1
647778;235;1;1;1;50001;1;Cabecera;71.11186447;2;1;2;2;1
647779;235;1;1;1;50001;1;Cabecera;75.868636044;1;1;2;1;1
647780;235;1;1;1;50001;1;Cabecera;70.272466924;2;1;2;2;1
647782;235;1;1;1;50001;1;Cabecera;104.62935991;1;1;1;2;1
647783;235;1;1;1;50001;1;Cabecera;120.43283288;2;1;1;2;1
647784;235;1;1;1;50001;1;Cabecera;95.090464541;1;1;2;2;1
647785;235;1;1;1;50001;1;Cabecera;89.225097405;1;1;1;1;1
647787;235;1;1;1;50001;1;Cabecera;108.9626969;1;1;1;1;1
647788;235;1;1;1;50001;1;Cabecera;91.298001057;1;1;1;4;1
647789;235;1;1;1;50001;1;Cabecera;82.050272801;1;1;1;1;1
647790;235;1;1;1;50001;1;Cabecera;81.04232729;2;1;3;2;1
647791;235;1;1;1;50001;1;Cabecera;71.845078567;1;1;3;1;1
647792;235;1;1;1;50001;1;Cabecera;63.774767432;2;1;3;2;1
647794;235;1;1;1;50001;1;Cabecera;63.609788932;1;1;3;2;1
647796;235;1;1;1;00000;1;Cabecera;1321.2299779;1;1;1;2;1
647797;235;1;1;1;00000;1;Cabecera;1492.3913535;1;1;1;1;1
647798;235;1;1;1;00000;1;Cabecera;1793.3259594;1;1;1;1;1
647799;235;1;1;1;00000;1;Cabecera;958.30451388;1;1;1;1;1
647800;235;1;1;1;00000;1;Cabecera;1011.2569287;1;1;1;2;1
647802;235;1;1;1;00000;1;Cabecera;767.31464773;1;1;1;1;1
647803;235;1;1;1;00000;1;Cabecera;1424.7873533;1;1;1;1;1
647804;235;1;1;1;00000;1;Cabecera;767.31464773;1;1;1;1;1
647805;235;1;1;1;00000;1;Cabecera;1011.2569287;1;1;1;1;1
647806;235;1;1;1;00000;1;Cabecera;1682.6069974;1;1;1;1;1
647807;235;1;1;1;00000;1;Cabecera;616.14503679;1;1;2;1;1
647808;235;1;1;1;00000;1;Cabecera;840.22829366;1;1;2;1;1
647809;235;1;1;1;00000;1;Cabecera;948.35117977;1;1;2;4;1
647810;235;1;1;1;00000;1;Cabecera;800.70253995;1;1;2;2;1
647811;235;1;1;1;00000;1;Cabecera;784.12349281;1;1;2;1;1
647812;235;1;1;1;00000;1;Cabecera;800.63020604;1;1;2;1;1
647813;235;1;1;1;00000;1;Cabecera;784.12349281;1;1;2;2;1
647816;235;1;1;1;00000;1;Cabecera;869.4305499;2;1;2;2;1
647817;235;1;1;1;00000;1;Cabecera;516.71020049;1;1;2;1;1
647818;235;1;1;1;00000;1;Cabecera;801.17985241;1;1;1;1;1
647820;235;1;1;1;00000;1;Cabecera;947.41765265;1;1;2;1;1
647821;235;1;1;1;00000;1;Cabecera;920.93100045;1;1;3;1;1
647823;235;1;1;1;00000;1;Cabecera;826.17015238;1;1;3;1;1
