DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3105;P1361S20;P1361S14;P1361S21;P1361S3;P1361S4;P1361S5;P1361S22;P1361S23;P1361S7;P1361S11;P1361S24;P1361S12;P1361S13;P3106;P3502;P3107;P1358S16;P1358S13;P1358S17;P1358S3;P1358S4;P1358S5;P1358S18;P1358S19;P1358S7;P1358S12;P1358S20;P1358S10;P3108;P564;P3109S1;P3109S2;P3109S3;P3109S4;P3109S5;P3109S6;P3109S7;P3109S16;P3109S17;P3109S9;P3109S10;P3109S11;P3109S12;P3109S13;P3109S18;P3109S14;P3109S15;P3111S1;P3111S2;P3111S3;P3111S4;P3111S5;P3111S6;P3111S7;P3111S8;P3111S9;P3112S1;P3112S2;P3112S3;P3112S4;P3112S5;P3112S6;P3112S7;P3112S8;P3112S9;P3112S10;P3112S11;P3112S16;P3112S14;P3112S15;P1353S1;P1353S2;P1353S3;P1353S4;P1353S5;P1353S6;P3302S1;P3302S9;P3302S4;P3302S5;P3302S7;P3302S8;P3503S1;P3503S2;P3503S3;P3503S4;P3503S5;P3503S6
647667;237;1;1;1;171.62517119;4;1;2;1;1;1;1;1;1;1;2;1;;;4;4;3;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;;1;;;;;;;;;;;;3;3;3;3;4;3;;4;4;1;1;1;1;1;1;1;1;1;1;;1;;;1;1;1;2;1;1;1;1;2;2;1;1;5;5;5;5;5;5
647667;237;2;1;2;171.62517119;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;2;2;2;2;2;2;;2;1;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;4;5;5;5;5
647668;237;1;1;1;157.97433511;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;2;3;5;2;;5;5;;1;;;1;1;;;;;;1;;;2;2;1;2;2;2;9;9;9;9;9;9;4;5;3;2;4;4
647669;237;1;1;1;171.62517119;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;2;3;5;2;;5;5;;;;1;1;;;;;;;1;;;2;2;2;2;2;2;9;9;9;9;9;9;3;3;3;1;3;3
647669;237;2;1;2;171.62517119;2;;;;;;;;;;;;;;3;2;3;2;2;2;2;1;2;2;2;2;2;2;2;3;2;;;;;;;;;;;;;;;;;;2;3;5;3;5;3;;5;5;;;;;;;;;;;;1;;;2;2;1;2;2;2;9;9;9;9;9;9;4;3;2;1;3;3
647670;237;1;1;1;219.95684737;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;2;2;2;2;;2;3;;;;;;;;;;;;;;2;1;1;1;2;2;1;2;2;2;2;2;2;5;5;5;5;4;4
647671;237;1;1;1;143.82794077;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;2;4;5;2;;2;2;;;;;1;;;;;;;;;;1;1;1;2;2;2;2;2;2;2;2;2;5;5;4;2;4;5
647671;237;2;1;2;143.82794077;2;;;;;;;;;;;;;;3;2;3;2;2;2;2;1;1;2;2;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;5;2;;;;;1;1;;;;;;1;;;2;2;1;2;2;2;9;9;9;9;9;9;4;4;4;4;4;4
647672;237;1;1;1;183.29737281;2;;;;;;;;;;;;;;2;2;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;2;5;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;3;1;5;5
647673;237;1;1;1;155.86691854;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;;;;;;;;;;;;;;2;2;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647675;237;1;1;1;138.78741504;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;2;2;2;2;;5;5;;;;;;;;;;;;;;2;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647675;237;2;1;2;138.78741504;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;2;2;5;2;;5;5;;;;;;;;;;;;;;2;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647676;237;1;1;1;142.87800866;2;;;;;;;;;;;;;;2;2;3;1;2;1;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;5;2;3;4;3;;3;5;1;;1;1;;1;1;;;;;1;;;1;2;1;2;2;2;2;2;2;2;2;2;5;5;3;1;5;5
647679;237;1;1;1;224.26694589;2;;;;;;;;;;;;;;2;2;3;2;2;1;1;1;1;2;1;1;1;1;1;1;1;;1;1;;;1;;;;;;;;1;1;;;2;3;3;3;3;2;;3;5;;1;1;1;1;1;1;;;1;;1;;;2;2;1;2;2;1;1;2;2;2;2;2;5;5;3;5;5;5
647679;237;2;1;2;224.26694589;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;2;3;3;3;;3;2;;;;;;;;;;;;;;2;2;2;1;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647681;237;1;1;1;226.967208;2;;;;;;;;;;;;;;5;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;2;5;5;2;;5;5;;;;;;;;;;;;;;2;2;2;1;2;2;2;9;9;9;9;9;9;4;4;4;2;4;5
647682;237;2;1;2;208.87742961;2;;;;;;;;;;;;;;3;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;2;5;5;2;;5;5;;1;;;1;1;;;;;;1;;;2;2;2;2;2;2;9;9;9;9;9;9;4;4;4;3;4;5
647682;237;1;1;1;208.87742961;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;5;2;5;2;;2;5;;1;1;;;;;;;;;1;;;2;2;2;2;1;2;2;2;2;2;2;2;4;5;3;3;4;4
